Is gateway,Status,Last active,Name,MAC,Serial,Tags,Model,Product description,Latitude,Longitude,Internet address,LAN IP,Usage,Client count,Download speed,Gateway node,Gateway route length,Ping latency,Last active timestamp,Clients probing,Current client count
true,OK,now,LVB Zentrale indoor 1,88:15:44:bc:66:40,Q2JD-WFJD-MS79, LEIPZIGER LVB ,MR32,Meraki MR32 Cloud Managed AP,51.3400802377759,12.383759021759,87.172.141.184,192.168.2.102,4766720,3,"",88:15:44:bc:66:40,"","",Fri Feb 10 10:22:36 CET 2017,,1
true,OK,now,LVB Waldplatz 1-1,e0:55:3d:4b:38:c0,Q2DK-ZMCB-FRAR, LEIPZIGER LVB ,MR72,Meraki MR72 Cloud Managed AP,51.3423329486946,12.3595944637782,146.0.126.160,192.168.13.44,511240192,106,"",e0:55:3d:4b:38:c0,"","",Fri Feb 10 10:22:23 CET 2017,,2
true,OK,now,LVB Busbahnhof Lindenau Indoor,88:15:44:ba:6c:d0,Q2JD-HDX8-LYTE, LEIPZIGER LVB ,MR32,Meraki MR32 Cloud Managed AP,51.3313279843025,12.320956170297,217.254.17.125,192.168.2.101,1790711808,19,"",88:15:44:ba:6c:d0,"","",Fri Feb 10 10:22:49 CET 2017,,2
true,OK,now,LVB Zentrale indoor 2,88:15:44:bc:9f:b0,Q2JD-XXCU-2R4F, LEIPZIGER LVB ,MR32,Meraki MR32 Cloud Managed AP,51.34038,12.38324,87.172.141.184,192.168.2.109,211820544,3,"",88:15:44:bc:9f:b0,"","",Fri Feb 10 10:22:01 CET 2017,,0
true,OK,now,Schauspielhaus Ring 2 aussen,00:18:0a:5e:84:80,Q2DK-66T4-KMJZ, LEIPZIGER ,MR72,Meraki MR72 Cloud Managed AP,51.341017406389,12.3701245485427,146.0.126.160,192.168.8.195,1100130304,76,"",00:18:0a:5e:84:80,"","",Fri Feb 10 10:22:50 CET 2017,,0
true,OK,now,LVB Bornaische Str - DVT-3OG-AP01,e0:55:3d:49:0e:60,Q2JD-3T4C-Q37F, LEIPZIGER LVB ,MR32,Meraki MR32 Cloud Managed AP,51.2955397,12.3861156,85.239.122.61,192.168.100.18,287679488,12,"",e0:55:3d:49:0e:60,"","",Fri Feb 10 10:22:42 CET 2017,,0
true,OK,now,Schauspielhaus Buehne rechts,88:15:44:bb:69:d0,Q2JD-PWYY-SSKU, LEIPZIGER SCHAUSPIEL ,MR32,Meraki MR32 Cloud Managed AP,51.3410001483703,12.3698660909213,146.0.126.162,192.168.8.198,117527552,11,"",88:15:44:bb:69:d0,"","",Fri Feb 10 10:22:16 CET 2017,,0
true,OK,now,Schauspielhaus Buehne links,88:15:44:ba:48:e0,Q2JD-GHUJ-N3NH, LEIPZIGER SCHAUSPIEL ,MR32,Meraki MR32 Cloud Managed AP,51.3409515578835,12.3697936712779,146.0.126.161,192.168.8.172,124049408,11,"",88:15:44:ba:48:e0,"","",Fri Feb 10 10:22:36 CET 2017,,0
true,OK,now,LVB Servicecenter Markgrafenstr,e0:55:3d:58:1b:90,Q2JD-FD7R-T4G5, LEIPZIGER LVB ,MR32,Meraki MR32 Cloud Managed AP,51.3367642383506,12.3746432659391,146.0.126.160,192.168.11.204,114045952,32,"",e0:55:3d:58:1b:90,"","",Fri Feb 10 10:22:51 CET 2017,,0
true,Unreachable for <var data-var='duration'>5 days</var>,5 days,LVB Jahnallee AOK 1-1,e0:55:3d:65:b0:f0,Q2DK-PCWD-RZT3, LEIPZIGER LVB ,MR72,Meraki MR72 Cloud Managed AP,51.3417478656798,12.357155263162,146.0.126.160,192.168.14.1,0,0,"",e0:55:3d:65:b0:f0,"","",Sun Feb 05 15:27:23 CET 2017,,0
